jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
linnderd jaar geleden,,,,,1.0,,,,,
reddrie jaar geleden,,,,,1.0,,,,,
vietduizend jaar geleden,,,,,1.0,,,,,
kwistig jaar geleden,,,,,1.0,,,,,
rome jaar geleden,,,,,1.0,,,,,
vroeger jaar geleden,,,,,1.0,,,,,
koopershonderd jaar geleden,,,,,1.0,,,,,
3040 jaar geleden,,,,,1.0,,,,,
klmn jaar geleden,,,,,1.0,,,,,
ala jaar geleden,,,,,1.0,,,,,
huiiderdvijftig jaar geleden,,,,,1.0,,,,,
leren jaar geleden,,,,,1.0,,,,,
zels jaar geleden,,,,,1.0,,,,,
zuid jaar geleden,,,,,1.0,,,,,
arravahtien jaar geleden,,,,,1.0,,,,,
diio jaar geleden,,,,,1.0,,,,,
cen jaar geleden,,,,,1.0,,,,,
behandeling jaar geleden,,,,,1.0,,,,,
ontdekte jaar geleden,,,,,1.0,,,,,
tltanlc jaar geleden,,,,,1.0,,,,,
doaaeliueen jaar geleden,,,,,1.0,,,,,
tweehonderdvijftig jaar geleden,,,,,1.0,,,,,
eindelijk jaar geleden,,,,,1.0,,,,,
hebt jaar geleden,,,,,1.0,,,,,
uit jaar geleden,,,,,1.0,,,,1.0,
bisschopswijding jaar geleden,,,,,1.0,,,,,
apeldoorn jaar geleden,,,,,1.0,,,,,
isstig jaar geleden,,,,,1.0,,,,,
angnstns jaar geleden,,,,,1.0,,,,,
2000 jaar geleden,,,,,1.0,,4.0,7.0,5.0,3.0
123 jaar geleden,,,,,1.0,,,,,
ia4 jaar geleden,,,,,1.0,,,,,
aardrijkskunde jaar geleden,,,,,1.0,,,,,
4mi jaar geleden,,,,,1.0,,,,,
hel boekjaar geleden,,,,,1.0,,,,,
publiceerde jaar geleden,,,,,1.0,,,,,
onrechte jaar geleden,,,,,1.0,,,,,
westervcldtien jaar geleden,,,,,1.0,,,,,
joedotweehonderd jaar geleden,,,,,1.0,,,,,
nauwelijks jaar geleden,,,,,1.0,,,,1.0,1.0
merkwaardig jaar geleden,,,,,1.0,,,,,
ouooo jaar geleden,,,,,1.0,,,,,
zelfs jaar geleden,,,,,1.0,,,1.0,,1.0
afgeloopen boekjaar geleden,,,,,1.0,,,,,
gedragen jaar geleden,,,,,1.0,,,,,
ail jaar geleden,,,,,1.0,,,,,
gors jaar geleden,,,,,1.0,,,,,
1300 jaar geleden,,,,,1.0,,,,,
